Code,Date,Stock,StockLongName,Open,Close,PriceChange1,PctChange1,Volume,NumShares,20d_ret
5279,2017-02-08,SERBADK,SERBA DINAMIK HOLDINGS BERHAD,1.53,1.52,0.020000000000000018,0.01333333333333342,66026100,1335000000.0,0.1399999999999999
5280,2017-02-06,KIPREIT,KIP REAL ESTATE INVESTMENT TRUST,1.04,0.995,-0.0050000000000000044,-0.0050000000000000044,18241000,505300000.0,-0.03500000000000003
5281,2017-07-10,ADVCON,ADVANCECON HOLDINGS BERHAD,0.74,0.845,0.21499999999999997,0.34126984126984117,131645100,402079000.0,0.5634920634920626
5283,2017-04-03,EWINT,ECO WORLD INTERNATIONAL BERHAD,1.31,1.28,0.08000000000000007,0.06666666666666665,145498700,2400000000.0,-0.0249999999999998
5284,2017-07-11,LCTITAN,LOTTE CHEMICAL TITAN HOLDING BERHAD,6.5,6.38,-0.1200000000000001,-0.01846153846153853,45477400,2468274500.0,-0.3323076923076924
5285,2017-11-30,SIMEPLT,SIME DARBY PLANTATION BERHAD,5.6,5.01,-0.5800000000000001,-0.10375670840787121,38189900,6800839377.0,0.07334525939177117
5286,2018-06-20,MI,MI EQUIPMENT HOLDINGS BERHAD,1.39,1.54,0.1200000000000001,0.08450704225352124,73683200,500000000.0,0.3028169014084514
5288,2017-11-30,SIMEPROP,SIME DARBY PROPERTY BERHAD,1.3,1.2,-0.30000000000000004,-0.20000000000000007,69085000,6800839377.0,0.18666666666666631
5289,2018-12-05,TECHBND,TECHBOND GROUP BERHAD,0.805,0.86,0.19999999999999996,0.303030303030303,78807600,230000000.0,0.4090909090909087
5291,2019-06-12,HPMT,HPMT HOLDINGS BERHAD,0.58,0.5,-0.06000000000000005,-0.1071428571428572,71187300,328489000.0,-0.2410714285714285
5292,2019-07-10,UWC,UWC BERHAD,1.1,1.4,0.58,0.7073170731707317,200712400,366800002.0,0.5731707317073171
5293,2019-10-14,AME,AME ELITE CONSORTIUM BERHAD,1.28,1.55,0.25,0.1923076923076923,49751500,427115101.0,0.3846153846153857
5295,2020-02-20,INNATURE,INNATURE BERHAD,0.72,0.655,0.015000000000000013,0.0234375,143703100,705881488.0,-0.5468749999999998
5296,2020-10-26,MRDIY,MR D.I.Y. GROUP (M) BERHAD,1.6,1.75,0.1499999999999999,0.09375,410154600,6276600000.0,0.5125
5297,2021-05-19,TJSETIA,TUJU SETIA BERHAD,0.775,0.74,0.040000000000000036,0.05714285714285716,114570700,316828700.0,-0.0357142857142857
5298,2021-06-22,OMH,OM HOLDINGS LIMITED,2.72,2.83,0.26000000000000023,0.10116731517509736,599300,738623337.0,0.07003891050583655
5299,2021-09-20,IGBCR,IGB COMMERCIAL REAL ESTATE INVESTMENT TRUST,0.73,0.7,-0.30000000000000004,-0.30000000000000004,16170100,2307300000.0,-0.3400000000000001
5300,2021-07-15,YENHER,YENHER HOLDINGS BERHAD,0.995,0.9,-0.04999999999999993,-0.05263157894736836,61827100,300000000.0,-0.052631578947368474
5301,2021-07-19,CTOS,CTOS DIGITAL BERHAD,1.5,1.62,0.52,0.47272727272727266,366359300,2200000000.0,0.41818181818181754
5302,2021-12-16,ATECH,AURELIUS TECHNOLOGIES BERHAD,1.41,1.7,0.33999999999999986,0.24999999999999978,187041300,358180000.0,0.823529411764705
5303,2021-12-21,SWIFT,SWIFT HAULAGE BERHAD,1.08,0.96,-0.07000000000000006,-0.06796116504854377,158559100,889804502.0,-0.22815533980582525
5305,2022-01-25,SENHENG,SENHENG NEW RETAIL BERHAD,0.9,0.855,-0.21500000000000008,-0.20093457943925241,163548600,1500000000.0,-0.18691588785046687
5306,2022-03-22,FFB,FARM FRESH BERHAD,1.7,1.72,0.3699999999999999,0.2740740740740739,330405500,1857954837.0,0.2888888888888883
5307,2022-09-20,AMEREIT,AME REAL ESTATE INVESTMENT TRUST,1.14,1.16,0.030000000000000027,0.026548672566371723,20055200,520000000.0,0.03539823008849563
5308,2022-07-07,SENFONG,SENG FONG HOLDINGS BERHAD,0.75,0.675,-0.07499999999999996,-0.09999999999999998,97593500,518960000.0,-0.040000000000000036
5309,2022-12-13,ITMAX,ITMAX SYSTEM BERHAD,1.52,1.38,0.30999999999999983,0.2897196261682242,130765600,1028000000.0,0.47663551401869175
5310,2023-01-17,KITACON,KUMPULAN KITACON BERHAD,0.99,0.75,0.06999999999999995,0.10294117647058809,156697400,500000000.0,-0.02941176470588236
5311,2023-03-10,CEB,CAPE EMS BERHAD,1.42,1.5,0.6,0.6666666666666665,253575300,923000000.0,0.34444444444444455
5313,2023-05-31,RADIUM,RADIUM DEVELOPMENT BERHAD,0.35,0.385,-0.11499999999999999,-0.22999999999999998,226668600,3468000000.0,-0.2699999999999996
5315,2023-07-10,SKYWLD,SKYWORLD DEVELOPMENT BERHAD,0.8,0.74,-0.06000000000000005,-0.07500000000000007,110509500,1000000000.0,-0.1625000000000001
5316,2023-07-20,MSTGOLF,MST GOLF GROUP BERHAD,0.705,0.78,-0.030000000000000027,-0.03703703703703709,75780300,820868600.0,-0.2283950617283952
5318,2023-05-19,DXN,DXN HOLDINGS BHD.,0.69,0.665,-0.03499999999999992,-0.04999999999999993,216411200,4985000000.0,-0.0714285714285714
6633,2019-05-16,LHI,LEONG HUP INTERNATIONAL BERHAD,1.12,1.1,0.0,0.0,215399100,3650000000.0,-0.027272727272727337
